"id","resignation_submission_id","number_of_employees","k1","k2","k3","k4","k5","k6","k7","created_at","updated_at"
"64",NULL,"2111048387","4","4","4","4","4","4","4","2022-11-07 09:12:38","2022-11-07 09:12:38"
"65",NULL,"2209056193","4","2","3","2","4","4","4","2022-11-07 09:32:02","2022-11-07 09:32:02"
"66",NULL,"2206054248","2","2","3","1","2","4","3","2022-11-07 09:36:46","2022-11-07 09:36:46"
"67",NULL,"2103041890","2","3","2","2","4","2","2","2022-11-07 10:26:13","2022-11-07 10:26:13"
"68",NULL,"2010036978","1","1","1","1","1","1","1","2022-11-07 10:37:32","2022-11-07 10:37:32"
"69",NULL,"2209056540","3","2","3","4","4","3","3","2022-11-07 17:46:07","2022-11-07 17:46:07"
"70",NULL,"2109045932","3","2","2","3","3","2","2","2022-11-07 20:02:09","2022-11-07 20:02:09"
"71",NULL,"2112049015","4","3","2","2","3","3","1","2022-11-07 23:41:44","2022-11-07 23:41:44"
"72",NULL,"2201049930","3","4","4","2","2","2","4","2022-11-08 00:51:31","2022-11-08 00:51:31"
"73",NULL,"2205054050","3","4","3","2","2","4","2","2022-11-08 02:48:05","2022-11-08 02:48:05"
"74",NULL,"2008034882","4","3","3","4","3","4","4","2022-11-08 05:27:39","2022-11-08 05:27:39"
"75",NULL,"2111048350","4","4","4","1","4","4","4","2022-11-08 06:42:19","2022-11-08 06:42:19"
"76",NULL,"2109045537","4","3","3","3","3","4","3","2022-11-08 07:46:59","2022-11-08 07:46:59"
"77",NULL,"1906024530","4","4","4","4","4","3","4","2022-11-08 08:20:49","2022-11-08 08:20:49"
"78",NULL,"2010036972","4","2","3","4","4","4","1","2022-11-08 08:43:59","2022-11-08 08:43:59"
"79",NULL,"2111048086","4","2","4","4","4","3","3","2022-11-08 08:46:13","2022-11-08 08:46:13"
"80",NULL,"1809015908","3","4","4","4","4","3","4","2022-11-08 08:46:46","2022-11-08 08:46:46"
"81",NULL,"1907025635","4","4","4","1","4","4","1","2022-11-08 09:02:54","2022-11-08 09:02:54"
"82",NULL,"1906025145","4","4","4","4","4","4","4","2022-11-08 09:04:28","2022-11-08 09:04:28"
"83",NULL,"2110046902","3","3","4","2","4","3","1","2022-11-08 09:30:59","2022-11-08 09:30:59"
"84",NULL,"2206054983","4","4","1","4","4","4","1","2022-11-09 08:18:44","2022-11-09 08:18:44"
"85",NULL,"1807013835","3","3","3","3","3","4","4","2022-11-09 08:47:31","2022-11-09 08:47:31"
"86",NULL,"2102041059","4","4","4","4","4","4","4","2022-11-09 08:50:37","2022-11-09 08:50:37"
"87",NULL,"2209056541","4","4","1","4","4","4","4","2022-11-09 09:09:21","2022-11-09 09:09:21"
"88",NULL,"1604000846","4","4","4","4","1","4","1","2022-11-09 09:26:32","2022-11-09 09:26:32"
"89",NULL,"2203051876","2","2","2","2","2","2","2","2022-11-09 09:34:12","2022-11-09 09:34:12"
"90",NULL,"2209056392","3","3","4","4","2","1","1","2022-11-09 09:37:51","2022-11-09 09:37:51"
"91",NULL,"2209056396","3","3","3","3","1","4","1","2022-11-09 09:37:53","2022-11-09 09:37:53"
"92",NULL,"2102041343","4","3","3","3","2","4","3","2022-11-09 09:47:54","2022-11-09 09:47:54"
"93",NULL,"1901018226","4","4","3","4","3","4","3","2022-11-09 10:47:20","2022-11-09 10:47:20"
"94",NULL,"2101040096","3","3","2","3","3","4","4","2022-11-09 14:39:15","2022-11-09 14:39:15"
"95",NULL,"2007034550","4","4","4","4","4","4","4","2022-11-09 17:42:44","2022-11-09 17:42:44"
"96",NULL,"2208055610","3","3","4","3","4","3","2","2022-11-09 18:35:09","2022-11-09 18:35:09"
"97",NULL,"1905022621","3","3","3","3","2","2","3","2022-11-10 00:46:24","2022-11-10 00:46:24"
